conre,cnpj
5,35575890000144
5,22889875000129
5,"53.112.349/0001-81"
5,"15.563.771/0001-64"
5,52483917000198
5,"10.320.257/0001-84"
5,"24.520.398/0001-55"
5,"26.269.731/0001-20"
5,"48.058.743/0001-49"
5,"21.703.109/0001-65"
5,"03.427.023/0001-75"
5,24558961000184
5,"12.804.679/0001-50"
5,"04.843.093/0001-77"
5,10307514000148
5,"36.443.750/0001-85"
5,"42.324.587/0001-34"
5,"42.555.570/0001-98"
5,"36.461.578/0001-92"
5,"05.693.586/0001-30"
5,"10.783.981/0001-44"
5,"47.512.210/0001-22"
5,"24.314.224/0001-36"
5,"34.686.514/0001-64"
5,"34.996.802/0001-15"
5,"47.525.411/0001-64"
5,"54.436.173/0001-86"
5,26968007000195
6,"52.908.063/0001-44"
6,"50.224.855/0001-74"
6,"53.481.543/0001-34"
6,"39.664.992/0001-97"
6,"39.359.020/0001-99"
6,"36.443.527/0001-38"
6,"01.269.029/0001-36"
6,"28.504.695/0001-68"
6,"17.723.697/0001-21"
6,"21.216.859/0001-02"
6,"53.568.314/0001-51"
6,"10.327.675/0001-01"
6,"29.021.286/0001-73"
6,"22.642.565/0001-05"
6,"49.288.453/0001-54"
6,"07.630.546/0001-75"
6,"42.532.542/0001-55"
6,"07.805.417/0001-70"
6,"65.237.786/0001-00"
6,"04.671.306/0001-20"
6,"18.857.389/0001-51"
6,"10.567.676/0001-15"
6,"01.403.730/0001-04"
6,"33.403.221/0001-60"
6,"49.521.536/0001-41"
6,"17.166.399/0001-88"
6,"04.603.737/0001-50"
6,"38.374.271/0001-80"
6,"53.839.465/0001-05"
6,"24.089.028/0001-05"
6,"56.029.728/0001-09"
6,"16.578.361/0001-50"
6,"03.622.028/0001-59"
6,"16.832.830/0001-15"
6,"31.958.643/0001-76"
6,"29.269.310/0001-98"
6,"04.960.987/0001-47"
6,"10.425.289/0001-44"
6,"53.183.321/0001-35"
6,"52.302.483/0001-82"
6,"10.175.843/0001-82"
6,"08.581.382/0001-04"
6,"51.827.331/0001-30"
6,"11.849.437/0001-10"
6,"26.221.915/0001-10"
6,"09.376.087/0001-70"
6,"44.338.241/0001-10"
6,"05.633.719/0001-83"
6,"19.425.348/0001-59"
6,"27.359.974/0002-01"
6,"81.908.345/0001-40"
6,"07.588.731/0001-49"
6,"09.028.982/0001-02"
6,"00.654.576/0001-72"
6,"45.613.076/0001-20"
6,"38.003.326/0001-45"
6,"44.866.203/0001-30"
6,"13.663.840/0001-86"
6,"11.077.560/0001-60"
6,"35.067.671/0001-54"
6,"09.263.232/0001-07"
6,"42.196.550/0001-10"
6,"42.196.550/0014-92"
6,"33.513.194/0001-88"
6,"03.433.683/0001-69"
6,"30.557.990/0001-24"
6,"19.090.489/0001-68"
6,"03.830.371/0001-99"
6,"11.740.674/0001-49"
6,"17.070.395/0001-00"
6,"49.237.968/0001-25"
6,"45.634.145/0001-82"
6,"18.093.212/0001-26"
6,"26.528.386/0001-00"
6,"16.578.382/0001-75"
6,"23.297.294/0001-60"
6,"32.654.392/0001-07"
6,"19.738.088/0001-71"
6,"02.866.959/0001-30"
6,"54.253.375/0001-92"
6,"39.293.002/0001-51"
6,"54.078.523/0001-80"
6,"54.078.523/0002-60"
6,"48.752.929/0001-01"
6,"22.445.600/0001-04"
6,"11.112.423/0001-10"
6,"22.345.021/0001-81"
6,"38.162.753/0001-76"
6,"28.796.457/0001-73"
6,"07.241.393/0001-74"
6,"03.950.991/0001-61"
6,"34.998.869/0001-99"
6,"53.189.755/0001-42"
6,"11.047.803/0001-18"
6,"14.602.960/0001-36"
6,"46.142.291/0001-53"
6,"19.697.832/0001-37"
6,"46.579.990/0001-65"
6,"54.167.933/0001-05"
6,"18.979.549/0001-35"
6,"30.400.900/0001-97"
6,"46.865.608/0001-80"
6,"23.254.436/0001-02"
6,"37.810.811/0001-68"
7,"06.023.655/0001-61"
7,"54.497.088/0001-28"
7,"54.464.321/0001-76"
7,"11.642.489/0001-11"
7,"07.317.438/0001-47"
7,"34.402.034/0001-24"
7,"34.904.664/0001-05"
7,"11.634.861/0001-48"
7,"38.346.323/0001-04"
7,"36.901.612/0001-00"
7,"33.375.311/0001-94"
7,"44.413.531/0001-81"
7,"39.752.011/0001-63"
7,"27.359.974/0001-12"
